week,production,storage,bill,transport,total
1,72330.50505050506,47742,52426.0,47742,25138085.050505057
2,44521.03535353536,28895,32097.899999999998,28895,15664265.353535354
3,35288.81313131313,22456,25450.7,22456,12458093.13131313
4,42586.31313131314,29379,30704.899999999998,29379,14790703.131313138
5,11039.166666666666,7208,7965.0,7208,3874286.666666666
6,21382.146464646466,14112,15437.900000000001,14112,7479506.464646464
7,21382.146464646466,14112,15437.900000000001,14112,7479506.464646464
8,21382.146464646466,14112,15437.900000000001,14112,7479506.464646464
9,21382.146464646466,14112,15437.900000000001,14112,7479506.464646464
10,21382.146464646466,14112,15437.900000000001,14112,7479506.464646464
11,35288.81313131313,22456,25450.7,22456,12458093.13131313
12,50753.96464646465,32663,36678.399999999994,32663,17818314.646464657
13,21382.146464646466,14112,15437.900000000001,14112,7479506.464646464
14,21382.146464646466,14112,15437.900000000001,14112,7479506.464646464
15,21450.20202020202,14161,15486.900000000001,14161,7502972.02020202
16,21450.20202020202,14161,15486.900000000001,14161,7502972.02020202
17,21450.20202020202,14161,15486.900000000001,14161,7502972.02020202
18,42654.36868686869,29428,30753.899999999998,29428,14814168.68686869
19,42654.36868686869,29428,30753.899999999998,29428,14814168.68686869
20,61209.545454545456,40852,44307.200000000004,40852,21270065.454545453
21,28879.36868686869,19510,20835.899999999998,19510,10064548.686868692
22,42786.03535353536,27854,30848.699999999997,27854,15043135.353535358
23,17517.095959595958,11553,12648.000000000002,11553,6127865.959595954
24,36847.29797979798,24319,26665.6,24319,12839727.979797982
