id,r_count,type,s_mean,s_rate_mean,s_rate_variance,long_s_rate,s_delta,score_log
S229,240,A,1478.6958333333334,0.9944260545209256,0.004677881429222884,0.986112230295789,-20.825,8.98414733935683
S361,240,C,1367.0,0.992053674419155,0.0053550530895142496,0.9838897352542495,-22.383333333333333,8.902893574172689
S140,220,B,1258.5291666666667,1.1998252717695386,0.1598159891470897,0.6278219009235029,-813.8909090909091,8.860378457343998
S108,240,B,1003.9583333333334,0.9840828685346856,0.016975642584553915,0.887656799720017,-127.0625,8.58041179983759
S151,240,C,810.4083333333333,0.9833282061396259,0.01997950489718512,0.7297962552999887,-300.05,8.363973637723955
S139,224,B,632.7583333333333,1.2439905870286163,0.0971567107788854,0.8543668564484551,-115.5625,8.26843552049627
S282,240,A,705.5833333333334,1.0133085510678943,0.0043539099951544,1.0048003038016744,3.370833333333333,8.263301287473425
S340,240,B,714.275,0.9992937072409378,0.0018813944067156412,0.9966627906976744,-2.3916666666666666,8.26276779011266
S275,240,A,660.6375,1.0033928880277727,0.0003054635862274823,1.0025482137211508,1.6791666666666667,8.189592603051285
S329,240,A,652.1583333333333,1.001919699889979,0.0005352065686680384,1.0010745123121203,0.7,8.175086616334406
S131,240,B,572.9666666666667,0.9973954980567357,0.009948533148478173,0.9865907117899857,-7.7875,8.036383540864161
S330,240,B,569.3833333333333,0.9855901346256867,0.01895679782663282,0.7899872817666782,-151.36666666666667,8.013767614207836
S308,240,B,570.825,0.9745200123949475,0.028058481621169706,0.7354491673734955,-205.33333333333334,8.0006212949627
S356,240,C,542.9458333333333,1.0026136414974602,0.005938696668471026,0.9826184659005218,-9.604166666666666,7.989796616969526
S268,240,C,540.775,1.0035112298404212,0.0005375358996923682,1.0032155832109453,1.7333333333333334,7.989392902175507
S306,240,C,525.4,1.0045974070563564,0.0005656737433172492,1.0033099936346277,1.7333333333333334,7.961621587990191
S194,240,C,422.3541666666667,1.0019603398042958,0.001940539973843445,0.9998520418228447,-0.0625,7.7399809989209984
S352,240,A,370.9625,1.0015341678818328,0.004821630752575286,0.9969876819708846,-1.1208333333333333,7.608368601702639
S143,240,A,344.9458333333333,1.0036677313469538,0.038645873301759726,0.8754044623030559,-49.09583333333333,7.5206902468833725
S348,199,A,385.0875,1.0701331519246136,0.09406998929334152,0.5530581835807766,-375.31658291457285,7.481239718546761
S307,172,A,325.81666666666666,1.2442482038222293,0.16772567802642258,0.766755243520979,-138.29651162790697,7.30299660239242
S374,240,C,205.1,1.3121585590576594,0.11227631238036412,1.0125686544751404,2.5458333333333334,7.2710279292524405
S247,240,C,236.24166666666667,1.0139391140666183,0.0008811002902752376,1.0124642857142858,2.908333333333333,7.171500939793826
S284,240,C,194.15416666666667,1.0381543002677247,0.0020275490470395507,1.0237723827309677,4.508333333333334,6.998939709104206
S365,240,C,173.4625,1.021696663290979,0.002081073706203457,1.0163818359375,2.7958333333333334,6.869764202960651
S031,240,B,171.69583333333333,1.019774281926725,0.0032474580555725647,1.0161019874734922,2.720833333333333,6.857020914258563
